************* Year 2024 ***********
18/06/2024,1000 1000
03/07/2024,1000 2000
01/08/2024,1000 3000
07/09/2024,1000 4000
04/10/2024,1000 5000
01/11/2024,1000 6000
04/12/2024,1000 7000

************** Year 2025 ***********
02/01/2025,1000   8000
31/01/2025,1000   9000
03/03/2025,1000   10000
04/04/2025,1000   11000
13/05/2025,1000   12000
20/06/2025,10000  22000
23/06/2025,10000  32000
27/06/2025,10000  42000
07/14/2025,10000  52000
